id,loss
250000,7.458899044097452
250001,5.318392851043493
250002,7.536328780017748
250003,7.034228495426383
250004,7.450202657258592
250005,8.583431846423606
250006,9.654415951889861
250007,6.002124343493453
250008,7.011661827346103
250009,7.461731657182741
250010,5.7472548785303585
250011,6.534080361971688
250012,6.233114923524635
250013,6.240288466701655
250014,8.9247867924148
250015,5.70024733474051
250016,6.894688588196486
250017,6.45070026712804
250018,6.26918914142434
250019,6.2634746719596945
250020,6.890320842353681
250021,8.195132799189448
250022,6.82480829604117
250023,6.903568713877303
250024,5.887417408182347
250025,6.705333861748505
250026,7.569798965796983
250027,5.829436450548249
250028,7.069413631336701
250029,6.986653165069127
250030,6.657300608003019
250031,6.7520147555883065
250032,5.752881942267135
250033,5.764685850435328
250034,7.251889481313601
250035,7.363114335405001
250036,6.966038885604091
250037,7.827840300623389
250038,6.12642539175487
250039,6.346800599679166
250040,7.424401799495293
250041,6.532675493858816
250042,6.845106593846597
250043,7.144603869954771
250044,5.998513898807467
250045,7.155900425232778
250046,7.256392038112063
250047,6.454596032155412
250048,8.658746403893739
250049,5.757382289805551
250050,6.60557527562497
250051,7.9131726241744245
250052,8.223336702077248
250053,7.177490464737684
250054,4.96098929925907
250055,6.903035988241635
250056,6.746794057216613
250057,7.736700231612548
250058,6.6219845951850855
250059,6.907842307440123
250060,6.181662427290967
250061,7.31153523986981
250062,6.217829131602322
250063,6.692001647130535
250064,6.690526008291606
250065,5.814753121241674
250066,5.922635813520085
250067,5.947317218345855
250068,8.67932945799426
250069,4.902493530920325
250070,6.453132111404251
250071,5.858126321236044
250072,7.666696983513145
250073,5.6073540619895414
250074,6.427802364817572
250075,5.685533935874909
250076,6.642436522498111
250077,4.643658856714783
250078,5.695214611790464
250079,6.176604971621844
250080,6.425992864172658
250081,8.901272237783068
250082,8.712966578695987
250083,6.75202874247212
250084,7.801551040254367
250085,7.685076426071962
250086,6.280098163726558
250087,6.556224068739028
250088,5.0224436028177415
250089,7.709152987069975
250090,7.078474795986941
250091,6.655599564002436
250092,7.25716039618069
250093,5.70704107769537
250094,6.687361194874502
250095,6.332821782776816
250096,6.026671459306847
250097,8.088749816357797
250098,6.2519224047489885
250099,5.459844582117666
250100,5.665964930878724
250101,7.13555585530404
250102,6.6583144124969325
250103,5.72851766346259
250104,6.463085531633861
250105,6.798366535930381
250106,5.670201284604621
250107,7.629251880029884
250108,5.734430005114184
250109,6.791759501773065
250110,6.916814906439883
250111,6.641646691284318
250112,6.9994959014317315
250113,6.992210238162649
250114,6.666071296089949
250115,6.34488677424095
250116,5.688894903975996
250117,9.644875753693238
250118,9.200801286834412
250119,5.929238080800465
250120,7.540757349008155
250121,7.613917317812149
250122,5.632861806143456
250123,6.344175758097222
250124,7.155888359902141
250125,7.44402028488723
250126,5.621935977113386
250127,6.384804763767453
250128,5.51628736709738
250129,7.260442624662206
250130,6.731531270650262
250131,7.936450495700945
250132,5.012397286408341
250133,6.468593366640638
250134,5.365443022589151
250135,7.036464598753585
250136,8.154263130791557
250137,6.768889389101247
250138,7.0620078472228265
250139,5.518572820527815
250140,7.119900673338803
250141,6.659994299115926
250142,7.805159255120937
250143,6.84157754682721
250144,6.051998203186385
250145,7.6939337202037255
250146,7.013419971998191
250147,7.215829596015536
250148,7.416839972549593
250149,6.869774928272062
250150,4.982565346752589
250151,6.162512688842705
250152,7.34329883927702
250153,6.851516089661313
250154,5.6915828179003585
